reaction	linear_coefficient
rxn25492_c	[0.06121212121212121]
rxn38710_c	[0.034771639843410175]
rxn38702_c	[0.010477018993765406]
rxn13914_c	[0.010477018993765406]
rxn03140_c	[0.010477018993765406]
rxn02297_c	[0.010477018993765406]
rxn31257_c	[0.005318254313469624]
rxn38489_c	[0.005318254313469624]
rxn31255_c	[0.005318254313469624]
rxn31254_c	[0.005318254313469624]
rxn38492_c	[0.005318254313469624]
rxn07573_c	[0.005318254313469624]
rxn31256_c	[0.005318254313469624]
rxn38484_c	[0.005318254313469624]
rxn06429_c	[0.008012179208351457]
rxn11156_c	[0.008012179208351457]
rxn06081_c	[0.04860664056836306]
rxn27618_c	[0.010477018993765406]
rxn01800_c	[0.06805567638103523]
rxn33463_c	[0.06805567638103523]
rxn11749_c	[0.06805567638103523]
rxn03599_c	[0.02646367986080905]
rxn30339_c	[0.025135566188197768]
rxn33715_c	[0.014226475279106858]
rxn35346_c	[0.005187762795418298]
rxn31870_c	[0.005187762795418298]
rxn38114_c	[0.010477018993765406]
rxn30418_c	[0.004062635928664637]
rxn38077_c	[0.028307959982601133]
rxn35429_c	[0.0004088734232274902]
rxn35443_c	[0.0004088734232274902]
rxn16485_c	[0.01467304625199362]
rxn31210_c	[0.0027954182978106425]
rxn19980_c	[0.0027954182978106425]
rxn32365_c	[0.010477018993765406]
rxn26073_c	[0.0034188777729447584]
rxn16660_c	[0.028307959982601133]
rxn35413_c	[0.045721328113672605]
rxn19018_c	[0.014226475279106858]
rxn34630_c	[0.004109032912860664]
rxn26310_c	[0.0017978831375960564]
rxn32357_c	[0.008012179208351457]
rxn03395_c	[0.008012179208351457]
rxn33220_c	[0.008012179208351457]
rxn15785_c	[0.008012179208351457]
rxn06723_c	[0.002659127156734812]
rxn32810_c	[0.050323328983616064]
rxn31217_c	[0.0024416412933159345]
rxn17745_c	[0.0024416412933159345]
rxn31243_c	[0.0024416412933159345]
rxn33618_c	[0.0024416412933159345]
rxn00321_c	[0.026373785703929245]
