reaction	linear_coefficient
rxn25492_c	[0.0858308778441619]
rxn38710_c	[0.053353302836429146]
rxn38702_c	[0.019356309114884337]
rxn13914_c	[0.019356309114884337]
rxn03140_c	[0.019356309114884337]
rxn02297_c	[0.017505874181277508]
rxn31257_c	[0.01013669341928902]
rxn38489_c	[0.01013669341928902]
rxn31255_c	[0.01013669341928902]
rxn31254_c	[0.01013669341928902]
rxn38492_c	[0.01013669341928902]
rxn07573_c	[0.01013669341928902]
rxn31256_c	[0.01013669341928902]
rxn38484_c	[0.01013669341928902]
rxn06429_c	[0.014760067505602856]
rxn11156_c	[0.014760067505602856]
rxn06081_c	[0.07149407698026383]
rxn27618_c	[0.04521355972672169]
rxn01800_c	[0.11492774621366283]
rxn33463_c	[0.11492774621366283]
rxn11749_c	[0.11492774621366283]
rxn03599_c	[0.07340420336334186]
rxn30339_c	[0.027360389839430004]
rxn33715_c	[0.04864310482361177]
rxn35346_c	[0.017505874181277508]
rxn31870_c	[0.017505874181277508]
rxn38114_c	[0.019356309114884337]
rxn30418_c	[0.007645932027718539]
rxn38077_c	[0.030741096477661833]
rxn35429_c	[0.003695443371807186]
rxn35443_c	[0.003695443371807186]
rxn16485_c	[0.04864310482361177]
rxn31210_c	[0.0065986184142695125]
rxn19980_c	[0.0065986184142695125]
rxn32365_c	[0.01891133649155366]
rxn26073_c	[0.006376132102604176]
rxn16660_c	[0.07375149906935603]
rxn35413_c	[0.07375149906935603]
rxn19018_c	[0.05583863773259316]
rxn34630_c	[0.014825185450480517]
rxn26310_c	[0.004129563004324917]
rxn32357_c	[0.019356309114884337]
rxn03395_c	[0.019356309114884337]
rxn33220_c	[0.019356309114884337]
rxn15785_c	[0.019356309114884337]
rxn06723_c	[0.00602883639658999]
rxn32810_c	[0.07149407698026383]
rxn31217_c	[0.004281504875706122]
rxn17745_c	[0.004281504875706122]
rxn31243_c	[0.004281504875706122]
rxn33618_c	[0.004281504875706122]
rxn00321_c	[0.11492774621366283]
rxn38482_c	[0.003652031408555413]
rxn31276_c	[0.003652031408555413]
rxn38486_c	[0.003652031408555413]
rxn38490_c	[0.003652031408555413]
rxn38485_c	[0.003652031408555413]
rxn37965_c	[0.003652031408555413]
rxn38487_c	[0.003652031408555413]
rxn30096_c	[0.003652031408555413]
rxn04023_c	[0.025352586539035493]
rxn32460_c	[0.019356309114884337]
rxn16223_c	[0.015427526440598869]
rxn16221_c	[0.015427526440598869]
rxn19253_c	[0.016876400714126796]
rxn33346_c	[0.016876400714126796]
rxn06741_c	[0.04864310482361177]
rxn07241_c	[0.04864310482361177]
rxn34204_c	[0.014130594038452146]
rxn35234_c	[0.019356309114884337]
rxn16681_c	[0.1001242667448082]
rxn32682_c	[0.050748585041322763]
rxn14089_c	[0.016876400714126796]
rxn38034_c	[0.016876400714126796]
rxn11834_c	[0.050748585041322763]
rxn11838_c	[0.050748585041322763]
rxn31891_c	[0.016876400714126796]
rxn05871_c	[0.016876400714126796]
rxn38318_c	[0.016876400714126796]
rxn11809_c	[0.050748585041322763]
rxn03282_c	[0.050748585041322763]
rxn04726_c	[0.016876400714126796]
rxn32074_c	[0.050748585041322763]
rxn03893_c	[0.07583527330544115]
rxn11643_c	[0.07583527330544115]
rxn28991_c	[0.012730558223582464]
rxn30152_c	[0.012730558223582464]
rxn15783_c	[0.023393621697299232]
rxn06831_c	[0.023393621697299232]
rxn03397_c	[0.023393621697299232]
rxn16584_c	[0.023393621697299232]
rxn04674_c	[0.023393621697299232]
rxn27893_c	[0.022270337148159604]
rxn03159_c	[0.07104367786152668]
rxn31826_c	[0.009414969530228294]
rxn38718_c	[0.053353302836429146]
rxn37956_c	[0.02246026448738611]
rxn32091_c	[0.02246026448738611]
rxn13940_c	[0.009990178043314287]
rxn13941_c	[0.009990178043314287]
rxn37906_c	[0.11492774621366283]
rxn33079_c	[0.020946272268980527]
rxn06798_c	[0.012046819802367038]
rxn02798_c	[0.012046819802367038]
rxn01494_c	[0.13451196813561897]
rxn16665_c	[0.06921494890954574]
rxn33688_c	[0.026812313803376363]
rxn33703_c	[0.026812313803376363]
rxn04480_c	[0.009745985750023063]
rxn04288_c	[0.009745985750023063]
rxn34771_c	[0.12308919530499618]
rxn07204_c	[0.0858308778441619]
rxn13939_c	[0.0858308778441619]
rxn38233_c	[0.015427526440598869]
rxn20202_c	[0.015427526440598869]
rxn12649_c	[0.7059816258865537]
rxn01601_c	[0.7059816258865537]
rxn30104_c	[0.7059816258865537]
rxn14120_c	[0.7059816258865537]
rxn01602_c	[0.7059816258865537]
rxn32434_c	[0.7059816258865537]
rxn33281_c	[0.019356309114884337]
