reaction	linear_coefficient
rxn05918_c	[0.06096993743177784, 0.07325241771249075, 0.07174822719297895, 0.034161661828333814]
rxn00297_c	[0.06943953193565224, 0.07602271148963029, 0.08043702797384818, 0.05771587659605649]
rxn32155_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn31412_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn35692_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn31441_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn35691_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn27956_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn31439_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn31451_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn35693_c	[0.002198036350743006, 0.0030676270397185946, 0.0041994643128234034, 0.0016247851520927823]
rxn35429_c	[0.004548912394115266, 0.005452488641539171, 0.006203752100554981, 0.002577929342381219]
rxn35443_c	[0.004548912394115266, 0.005452488641539171, 0.006203752100554981, 0.002577929342381219]
rxn31257_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn38489_c	[0.017806135743333805, 0.019785747760013177, 0.02100136618568794, 0.01591472721957506]
rxn31255_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn31254_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn38492_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn07573_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn31256_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn38484_c	[0.02496610981106714, 0.022038117055026365, 0.02465812528676149, 0.02234122970948297]
rxn03491_c	[0.23586867430439637, 0.24756412023895102, 0.235865281452052, 0.21936046634850606]
rxn13947_c	[0.015390852136737273, 0.014269249715762366, 0.016918162875280012, 0.01832647085073443]
rxn16611_c	[0.015390852136737273, 0.014269249715762366, 0.016918162875280012, 0.01832647085073443]
rxn03126_c	[0.00463478914453568, 0.0053922648639907235, 0.006416974205222172, 0.005090764026002158]
rxn35449_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn33067_c	[0.013673317128329003, 0.013956086068876423, 0.017046096142905302, 0.01591472721957506]
rxn33490_c	[0.0012963304713286643, 0.001200689927457589, 0.0013955936313836154, 0.0011482130569485636]
rxn03372_c	[0.0012963304713286643, 0.001200689927457589, 0.0013955936313836154, 0.0011482130569485636]
rxn27688_c	[0.0012963304713286643, 0.001200689927457589, 0.0013955936313836154, 0.0011482130569485636]
rxn23129_c	[0.0012963304713286643, 0.001200689927457589, 0.0013955936313836154, 0.0011482130569485636]
