keggID	Base mean DMC
afu:AF_0745	31.47
lil:LA_0020	38.2
lil:LA_0027	16.1
lil:LA_0033	23.4
lagg:B0E33_08875	10.08
lic:LIC_10039	10.46
lic:LIC_10040	38.91
apai:APAC_0499	60.43
lil:LA_0051	39.35
lil:LA_0052	86.72
ceb:B0D95_03505	31.77
hyf:DTO96_101282	96.89
lil:LA_0057	7.27
seon:BWZ22_11605	8.63
lil:LA_0062	34.9
rev:HUE57_01805	142.22
rev:HUE57_01805	51.38
lil:LA_0072	19.96
lkm:EFP84_11195	28.81
grs:C7S20_17155	12.87
lil:LA_0080	10.61
lie:LIF_A0072	29.11
lic:LIC_10074	51.22
paeu:BN889_05176	58.98
lic:LIC_10092	10.27
lic:LIC_10094	326.9
lic:LIC_10098	30.5
mbu:Mbur_1899	32.68
lic:LIC_10101	40.42
lil:LA_0124	32.75
lil:LA_0125	25.93
lil:LA_0126	18.43
lic:LIC_10118	5.5
oxy:HCG48_15465	24.95
lic:LIC_10121	37.34
hadh:FRZ61_40400	239.88
ccl:Clocl_1669	69.87
cbi:CLJ_B0032	71.68
pth:PTH_0951	110.06
lil:LA_0157	53.88
dao:Desac_2111	124.53
lil:LA_0171	46.89
lil:LA_0181	22.76
lil:LA_0185	66.46
hhy:Halhy_4875	600.13
hhm:BN341_18130	16.95
lic:LIC_10193	28.57
amyt:AMYT_0392	10.72
chd:Calhy_1552	7.22
lil:LA_0229	24.06
lil:LA_0235	19.95
lil:LA_0237	24.18
lil:LA_0242	315.85
lic:LIC_10209	484.46
lil:LA_0244	137.37
lil:LA_0251	438.8
ckl:CKL_3081	23.28
lic:LIC_10221	179.83
hmo:HM1_1592	83.93
aai:AARI_04680	17.65
caby:Cabys_2095	61.98
lis:LIL_10245	57.06
lil:LA_0296	69.2
sth:STH1805	7.48
rme:Rmet_0810	2.55
caby:Cabys_2095	46.75
lic:LIC_10270	46.94
nmv:NITMOv2_0338	669.08
rau:MC5_02555	28.9
lil:LA_0325	20.87
lil:LA_0326	25.93
lic:LIC_10286	26.58
lil:LA_0332	20.75
lil:LA_0333	15.22
lil:LA_0334	28.11
lil:LA_0335	84.1
lic:LIC_10293	22.51
tto:Thethe_02117	14.08
mthd:A3224_11795	86.86
lic:LIC_10309	330.87
lil:LA_0361	69.0
lil:LA_0362	95.66
lil:LA_0366	14.7
lil:LA_0369	57.38
aft:BBF96_06095	37.96
mpi:Mpet_0440	21.57
agv:OJF2_64560	2.21
ndv:NDEV_0242	14.12
aai:AARI_04680	21.74
dsf:UWK_03168	34.64
fnu:FN1424	261.52
lic:LIC_10363	66.85
npu:Npun_R3683	25.77
bsed:DN745_03645	24.47
lic:LIC_10383	40.91
kal:KALB_1452	36.0
lil:LA_0457	90.48
lie:LIF_A0392	27.69
lic:LIC_10403	17.34
kst:KSMBR1_2007	17.04
tvi:Thivi_0880	36.73
lic:LIC_10409	15.1
tpe:Tpen_1516	21.14
lic:LIC_10426	187.0
lil:LA_3823	50.88
lic:LIC_10429	55.38
slac:SKTS_14590	64.02
lic:LIC_10437	23.84
rpne:NCTC8284_03738	42.21
lie:LIF_A3045	12.68
lil:LA_3802	26.09
lil:LA_3801	63.26
lic:LIC_10446	38.42
dov:DSCO28_00810	63.13
rhoz:GXP67_10580	16.89
ssm:Spirs_4303	85.05
bjs:MY9_2859	131.56
bacq:DOE78_23410	3447.5
tpx:Turpa_1461	10.75
lil:LA_3764	55.04
puv:PUV_21100	3.36
lil:LA_3747	220.4
tpx:Turpa_1643	69.06
pth:PTH_0951	10.98
thf:MA03_04635	118.67
csy:CENSYa_2006	28.5
lic:LIC_10531	8.77
iva:Isova_2221	49.81
hhy:Halhy_4875	40.3
lagg:B0E33_10030	423.93
bsym:CIT39_05030	6.4
lkm:EFP84_03675	21.85
lis:LIL_10555	13.01
sauo:BV401_39280	15.05
arp:NIES39_E02730	9.8
nst:Nstercoris_00483	6.4
obg:Verru16b_02434	11.42
lis:LIL_10573	10.51
lic:LIC_10571	116.78
lil:LA_3636	17.77
kal:KALB_1452	14.98
lil:LA_3629	11.97
lic:LIC_10582	50.32
lil:LA_3627	47.11
scot:HBA18_16695	21.85
camp:CFT03427_1061	1.64
hyf:DTO96_101282	19.02
lil:LB_118	75.37
lil:LA_3613	29.94
lkm:EFP84_08625	24.12
htu:Htur_2338	116.8
htu:Htur_2338	99.91
lst:LSS_18828	51.99
meku:HUW50_24170	36.29
pvd:CFBP1590__4426	119.0
lic:LIC_10610	11.44
dsd:GD606_04755	19.05
gai:IMCC3135_16340	8.64
lic:LIC_10618	13.84
lil:LA_3573	19.93
lil:LA_3565	8.08
lagg:B0E33_10030	136.34
lic:LIC_10633	30.87
bagr:BA6348_06555	23.23
fbt:D770_25305	5.11
kor:AWR26_15100	68.03
lic:LIC_10648	18.07
lis:LIL_10662	2.37
lil:LA_3540	38.02
pmo:Pmob_0026	0.41
rsm:CMR15_20106	21.44
rso:RSc0992	32.44
bbar:RHAL1_02630	29.56
lil:LA_3529	11.19
lagg:B0E33_10030	35.03
pth:PTH_0951	8.13
msa:Mycsm_05708	58.19
lil:LA_3513	60.23
tnr:Thena_1233	23.07
izh:FEM41_11950	2.42
scot:HBA18_16695	8.72
lic:LIC_10700	34.1
gme:Gmet_1528	14.42
grc:GI584_06905	64.69
rle:RL0959	102.74
fsi:Flexsi_0525	112.83
hmo:HM1_1592	7.22
lic:LIC_10728	37.28
pgo:FSB84_05040	17.93
lic:LIC_10733	90.32
pact:CA264_10595	14.66
lkm:EFP84_11230	42.75
lic:LIC_10739	59.72
lis:LIL_10777	21.36
hyj:FHG12_12845	19.92
haxi:HAALTHF_04080n	769.71
tpx:Turpa_2698	22.24
mbah:HYN46_07285	21.89
lie:LIF_A2699	16.43
lic:LIC_10800	85.86
lil:LA_3363	12.9
lep:Lepto7376_4199	32.39
sjp:SJA_C1-19860	44.45
din:Selin_2041	40.01
lil:LA_3354	9.88
fcl:A4G17_00490	40.09
chel:AL346_11035	17.69
abaw:D5400_05875	5.81
fcr:HYN56_01755	11.16
fat:DVK85_06060	12.28
lie:LIF_A2654	10.63
saga:M5M_19155	76.35
lil:LA_3305	66.19
lil:LA_3302	46.84
dol:Dole_0034	31.07
lil:LA_3296	138.21
lil:LA_3294	35.93
lic:LIC_10855	31.38
lic:LIC_10856	43.0
lil:LA_3289	36.28
lil:LA_3288	22.73
lil:LA_3286	171.97
lil:LA_3285	82.48
psl:Psta_4204	10.67
tak:Tharo_1296	924.11
lby:Lbys_1799	112.67
acm:AciX9_0202	2.99
lic:LIC_10900	75.21
lil:LA_3234	32.95
lil:LA_3219	27.86
lic:LIC_10916	64.65
rso:RSc0992	13.65
star:G3545_23690	44.47
lgt:E4T54_05160	19.37
mew:MSWAN_2205	7.43
lagg:B0E33_10030	40.92
svl:Strvi_6015	9.1
dfl:DFE_1957	35.78
tah:SU86_008830	96.49
lic:LIC_10955	67.65
bxe:Bxe_C1266	24.1
toq:HCG51_04390	34.46
pfe:PSF113_3716	27.63
lie:LIF_A2534	60.28
lkm:EFP84_15395	775.31
lil:LA_3135	104.6
sbu:SpiBuddy_3010	16.17
nsh:GXM_10276	21.15
aba:Acid345_2395	130.55
cthd:CDO33_11130	22.94
ter:Tery_3412	59.11
kst:KSMBR1_1896	25.67
sen:SACE_4756	15.1
lew:DAI21_21145	141.68
sulz:C1J03_13380	10.09
pib:BBD41_29180	301.8
lil:LA_3095	35.69
lil:LA_3086	83.18
lic:LIC_11012	112.08
vir:X953_15095	176.23
lil:LA_3080	93.53
lst:LSS_15791	3.17
mag:amb1082	61.2
lis:LIL_12594	73.03
lic:LIC_11039	12.69
lil:LA_3540	5.58
paco:AACT_2965	9.05
hmo:HM1_1592	56.36
bba:Bd1820	87.42
lys:LBYS11_15145	11.66
bce:BC2176	55.19
ful:C4N20_15045	21.27
lic:LIC_11075	50.66
lic:LIC_11076	14.72
aai:AARI_04680	7.13
this:HZT40_01845	18.67
lil:LA_2968	26.71
fad:CDH04_06500	15.1
lic:LIC_11101	67.67
sen:SACE_4756	0.82
ais:BUW96_08720	4.69
pfla:Pflav_041560	60.52
tmr:Tmar_1404	23.82
ppd:Ppro_1380	64.55
lil:LA_2947	114.43
lic:LIC_11117	22.26
kphy:AOZ06_22185	16.02
lil:LA_2935	29.16
psyh:D0S48_12660	2.46
psyh:D0S48_12660	5.92
agv:OJF2_49420	5.15
psyh:D0S48_12660	16.29
ccz:CCALI_01052	5.43
ccz:CCALI_01052	8.36
psyh:D0S48_12660	3.85
lil:LA_2924	55.13
cale:FDN13_13375	29.91
lic:LIC_11140	127.7
mfw:mflW37_3950	5.36
gpi:GPICK_07935	5.52
dlu:A6035_03435	27.14
hmo:HM1_1592	678.76
mxa:MXAN_0034	54.62
lic:LIC_11159	40.95
samb:SAM23877_5630	9.38
lic:LIC_11175	13.45
sod:Sant_1609	8.18
baj:BCTU_367	21.87
doa:AXF15_00100	51.62
lil:LA_2841	115.66
lil:LA_2840	23.04
nmv:NITMOv2_0464	64.19
lil:LA_2834	140.97
dal:Dalk_2094	26.12
mbu:Mbur_2108	116.32
pdx:Psed_6431	31.14
oxy:HCG48_15465	35.03
vas:GT360_09370	22.37
din:Selin_2041	202.21
hht:F506_08165	95.76
lep:Lepto7376_4199	56.61
dwd:DSCW_59070	22.46
mvz:myaer102_12110	91.88
tph:TPChic_0981	63.88
lic:LIC_11257	37.94
cle:Clole_1194	143.18
lil:LA_2749	57.35
mtea:DK419_27425	20.59
lil:LA_2736	86.65
mos:AXE82_07685	23.9
tmo:TMO_0687	55.29
lil:LA_2727	10.03
mmet:MCMEM_0128	3.83
bbd:Belba_1407	131.13
fnu:FN1094	12.35
lil:LA_2706	36.01
pace:A6070_09145	68.99
lil:LA_2702	28.92
lic:LIC_11303	19.33
lil:LA_2699	8.59
lic:LIC_11308	46.39
lil:LA_2690	177.82
lil:LA_2689	96.62
hhl:Halha_2401	53.77
djj:COP05_06865	53.18
tpx:Turpa_2775	9.25
ngg:RG540_CH38170	63.7
ctc:CTC_01706	27.57
lic:LIC_11343	18.83
lic:LIC_11350	52.39
bcw:Q7M_741	8.75
lil:LA_2633	115.91
lil:LA_2632	81.08
lic:LIC_11357	16.65
lic:LIC_11359	69.15
lil:LA_2623	14.27
lul:LPB138_03425	128.78
hch:HCH_01597	60.93
lil:LA_2616	19.92
metf:CFE53_03355	124.83
dol:Dole_2976	89.95
hmo:HM1_1592	15.77
smur:BWP33_01885	18.8
pom:MED152_04280	14.1
apre:CNX65_15855	115.64
mad:HP15_p187g91	425.94
lil:LA_2570	176.57
lic:LIC_11410	42.6
lil:LA_3529	9.47
fnf:BSQ88_05960	13.16
lil:LA_2561	95.97
cga:Celgi_2410	0.61
xce:Xcel_2419	35.54
gur:Gura_3046	70.03
lep:Lepto7376_4199	61.42
apm:HIMB5_00008340	11.35
meku:HUW50_02925	3.63
dal:Dalk_2094	29.47
rhl:LPU83_pLPU83d0820	79.49
mbu:Mbur_1899	50.71
lagg:B0E33_10030	43.75
lic:LIC_11437	146.98
mbu:Mbur_1899	39.92
dms:E8L03_02300	57.85
lil:LA_2527	14.74
bcoh:BC6307_17615	8.73
lic:LIC_11453	43.3
lic:LIC_11454	26.15
lil:LA_2511	37.52
psu:Psesu_2996	21.59
lil:LA_2508	17.09
lic:LIC_11461	87.54
lil:LA_2506	27.8
fia:NA23_08610	610.53
dfd:Desfe_0908	3.92
lic:LIC_11470	43.19
kal:KALB_1452	24.14
tnp:Tnap_0551	9.29
htq:FRZ44_08400	156.67
ppse:BN5_0692	25.8
eat:EAT1b_2867	8.25
sok:D0B54_20820	196.29
ecn:Ecaj_0437	52.23
kde:CDSE_0044	70.09
afw:Anae109_2257	9.94
hht:F506_08165	50.55
mthr:MSTHT_0740	2.11
brm:Bmur_0931	8.79
bof:FQV39_14950	26.9
lil:LA_2420	80.27
lic:LIC_11534	11.73
roc:HF520_02550	38.95
lis:LIL_11658	30.04
lil:LA_2410	20.94
lil:LA_2409	121.08
lil:LA_2408	74.56
dwd:DSCW_47150	70.67
arca:HC352_05765	9.84
lfs:HFV01_24045	33.48
cbi:CLJ_B0032	33.78
lil:LA_2396	39.07
lic:LIC_11554	64.18
salx:SALLE_v1c03860	45.15
amyy:YIM_28115	153.83
mka:MK0192	41.75
hmo:HM1_1592	51.94
lic:LIC_11585	8.05
lic:LIC_11586	28.45
lie:LIF_A1928	987.63
llm:llmg_1854	54.17
lic:LIC_11597	125.76
net:Neut_0908	19.05
rba:RB10127	55.63
efv:CHH26_09260	5.36
metb:AW729_01355	13.66
lil:LA_2335	43.17
lic:LIC_11610	14.81
lic:LIC_11615	31.29
lil:LA_2326	85.32
lic:LIC_11618	30.5
tpx:Turpa_1643	12.74
lic:LIC_11626	38.66
lic:LIC_11630	492.84
dat:HRM2_08670	89.19
lic:LIC_11633	440.06
agu:AS4_34150	40.17
rba:RB10127	16.87
lic:LIC_11646	23.99
lil:LA_2286	55.23
lic:LIC_11655	69.18
lic:LIC_11656	10.75
lil:LA_2274	49.46
lie:LIF_A1847	20.94
lil:LA_2261	32.6
ial:IALB_0540	72.76
sdz:Asd1617_00381	15.17
salh:HMF8227_02526	53.97
lic:LIC_11699	104.24
lil:LA_2226	25.18
oac:Oscil6304_5106	308.41
arp:NIES39_E02730	711.46
saf:SULAZ_1426	57.2
hhy:Halhy_4875	105.39
sfla:SPHFLASMR4Y_01522	18.65
psuu:Psuf_007680	83.45
aka:TKWG_11425	7.84
lil:LA_2202	82.68
lil:LA_2200	101.21
cbei:LF65_02094	455.95
lic:LIC_11735	5.7
lic:LIC_11746	33.05
lic:LIC_11747	60.0
dal:Dalk_2094	36.2
weo:ASM33_05685	7.14
kqi:F1D05_15540	12.4
lis:LIL_11890	25.45
lil:LA_2153	27.67
lil:LA_2152	49.61
csq:CSCA_1240	27.61
lil:LA_2147	26.35
lil:LA_2145	27.64
fbe:FF125_09250	37.65
lic:LIC_11778	30.84
lil:LA_2141	21.1
lil:LA_2140	58.35
lil:LA_2139	292.41
lic:LIC_11786	7.54
baci:B1NLA3E_17845	13.61
lic:LIC_11790	159.64
lis:LIL_11918	33.85
lil:LA_2119	34.51
lic:LIC_11803	10.26
kal:KALB_1452	9.88
mpli:E1742_16830	16.84
sali:L593_11230	30.32
pmt:PMT_1961	9.51
hcv:FTV88_0636	17.34
lic:LIC_11812	36.1
lic:LIC_11813	41.83
lil:LA_2097	67.1
lil:LA_2096	44.43
lil:LA_2095	157.75
pcay:FRD00_28285	52.16
pth:PTH_0951	22.71
lil:LA_2092	30.27
lil:LA_2087	91.94
lil:LA_2076	24.17
lic:LIC_11852	35.01
lil:LA_2061	19.98
pbas:SMSP2_01647	24.84
lic:LIC_11855	38.72
pth:PTH_0951	20.39
lic:LIC_11860	26.41
lil:LA_2051	31.29
lil:LA_2050	37.34
