JB197_Annotation,GeneID,baseMean,adj_pvalue,log2FoldChange,lfcSE,JB197_29A,JB197_29B,JB197_29C,JB197_29D,JB197_37A,JB197_37B,JB197_37C,JB197_37D,countSUM,DE_pvalue,FCmin,CountMin,DE_Gene
transfer-messenger RNA,LBJ_RS18170,1594528.769,5.4674E-18,-1.866322392,0.208668709,2276499.574,3210290.161,2306616.972,2217200.418,414065.4226,808912.4484,750926.1345,771719.0185,12756230.15,TRUE,TRUE,TRUE,TRUE
RNase P RNA component class A,LBJ_RS18060,622112.4486,5.24842E-18,-2.355493373,0.263188135,881503.6638,1406041.424,974054.5804,901775.8929,95151.18926,242120.9351,236091.1726,240160.7314,4976899.589,TRUE,TRUE,TRUE,TRUE
molecular chaperone DnaK,LBJ_RS02395,297382.2425,0.159450853,-0.768266563,0.494811931,327748.8896,486920.6325,497398.9989,186907.9736,391584.8583,221119.0033,161487.8431,105889.7411,2379057.94,FALSE,FALSE,NA,FALSE
chaperonin GroEL,LBJ_RS09725,289317.2829,0.00825136,0.636777724,0.224913091,214426.3722,278158.2767,259461.7491,153892.7411,465601.8607,349201.1964,365444.8862,228351.181,2314538.264,TRUE,FALSE,NA,FALSE
,LBJ_RS04610,284340.5181,0.164328626,-1.177119581,0.7670262,293232.1522,666286.8848,191042.4991,426663.7697,32727.47118,197477.6478,419428.8804,47864.83988,2274724.145,FALSE,FALSE,NA,FALSE
Hsp20/alpha crystallin family protein,LBJ_RS06135,167025.8932,0.87415323,-0.107047432,0.56885904,152308.0567,219945.0377,255248.1044,65378.18075,325084.5046,152638.8759,93150.82829,72453.55719,1336207.146,FALSE,FALSE,NA,FALSE
Hsp20/alpha crystallin family protein,LBJ_RS06140,153899.6582,0.987657721,-0.009634345,0.516733701,145554.3255,195237.5523,210921.9757,65940.80043,290353.4063,158633.7331,103144.8982,61410.57435,1231197.266,FALSE,FALSE,NA,FALSE
elongation factor Tu,LBJ_RS14675,153198.5479,2.5494E-07,0.618469009,0.114532417,122260.1213,121077.1787,103626.4946,136455.4723,187367.7259,194578.3447,195668.8367,164554.2091,1225588.383,TRUE,FALSE,NA,FALSE
Lipoprotein LipL32,LBJ_RS09045,141283.1753,8.44238E-28,1.729693255,0.153656082,62504.16801,63897.91487,54522.17677,80917.71669,174395.2486,214724.7445,232444.3618,246859.0712,1130265.402,TRUE,TRUE,TRUE,TRUE
DNA repair protein RecN,LBJ_RS07210,123408.7153,6.07736E-08,-0.621327609,0.109666933,156808.3568,162145.9721,139422.5889,139942.5319,109913.5234,95989.77557,97199.77855,85847.19494,987269.7222,TRUE,FALSE,NA,FALSE
