locus_tag, old_locus_tag
LBJ_RS00005, LBJ_0001
LBJ_RS00010, LBJ_0002
LBJ_RS00015, LBJ_0003
LBJ_RS00020, LBJ_0004
LBJ_RS00025, LBJ_0005
LBJ_RS00030, LBJ_0006
LBJ_RS00035, LBJ_0007
LBJ_RS00040, LBJ_0008
LBJ_RS00045, LBJ_0009
LBJ_RS00050, LBJ_0010
LBJ_RS00060, LBJ_0011
LBJ_RS00065, LBJ_0012
LBJ_RS00070, LBJ_0013
LBJ_RS00075, LBJ_0014
LBJ_RS00080, LBJ_0015
LBJ_RS00085, LBJ_0016
LBJ_RS00090, LBJ_0017
LBJ_RS21065
LBJ_RS00095, LBJ_0018
LBJ_RS00100, LBJ_0019
LBJ_RS18090, LBJ_0020
LBJ_RS00110, LBJ_0021
LBJ_RS00115, LBJ_0023
LBJ_RS21685
LBJ_RS00120, LBJ_0024
LBJ_RS00125, LBJ_0025
LBJ_RS00130, LBJ_0026
LBJ_RS00135, LBJ_0027
LBJ_RS00140, LBJ_0028
LBJ_RS00155
LBJ_RS00160
LBJ_RS21690
LBJ_RS00170, LBJ_0029
LBJ_RS00175, LBJ_0030
LBJ_RS00180, LBJ_0031
LBJ_RS00185, LBJ_0032
LBJ_RS00195, LBJ_0033
LBJ_RS00200, LBJ_0034
LBJ_RS00205, LBJ_0035
LBJ_RS00210, LBJ_0036
LBJ_RS00215, LBJ_0037
LBJ_RS00220, LBJ_0038
LBJ_RS00225, LBJ_0039
LBJ_RS00230, LBJ_0040
LBJ_RS00235, LBJ_0041
LBJ_RS00240, LBJ_0042
LBJ_RS00245, LBJ_0043
LBJ_RS00250, LBJ_0044
LBJ_RS00255, LBJ_0045
LBJ_RS00260, LBJ_0046
LBJ_RS00265, LBJ_0047
LBJ_RS00270
LBJ_RS00275
LBJ_RS00280, LBJ_0050
LBJ_RS00285, LBJ_0051
LBJ_RS00290, LBJ_0052
LBJ_RS00300, LBJ_0053
LBJ_RS00305, LBJ_0054
LBJ_RS00310, LBJ_0055
LBJ_RS00315, LBJ_0056
LBJ_RS00320, LBJ_0057
LBJ_RS00325, LBJ_0058
LBJ_RS00330, LBJ_0059
LBJ_RS00335, LBJ_0060
LBJ_RS00340, LBJ_0061
LBJ_RS00345, LBJ_0062
LBJ_RS00350, LBJ_0063
LBJ_RS00355, LBJ_0064
LBJ_RS00360, LBJ_0065
LBJ_RS00365, LBJ_0066
LBJ_RS00370, LBJ_0067
LBJ_RS00375, LBJ_0068
LBJ_RS00380, LBJ_0069
LBJ_RS00385, LBJ_0070
LBJ_RS00390, LBJ_0071
LBJ_RS00395, LBJ_0072
LBJ_RS00400, LBJ_0073
LBJ_RS00405, LBJ_0074
LBJ_RS00410, LBJ_0075
LBJ_RS00415, LBJ_0076
LBJ_RS00425, LBJ_0077
LBJ_RS00430, LBJ_0078
LBJ_RS00435, LBJ_0079
LBJ_RS00440, LBJ_0080
LBJ_RS00445, LBJ_0081
LBJ_RS00450, LBJ_0082
LBJ_RS00455, LBJ_0083
LBJ_RS00460, LBJ_0084
LBJ_RS21080
LBJ_RS00470
LBJ_RS18130
LBJ_RS00475, LBJ_0085
LBJ_RS00480
LBJ_RS00485, LBJ_0086
LBJ_RS00490
LBJ_RS00495, LBJ_0088
LBJ_RS18140, LBJ_0089
LBJ_RS00505, LBJ_0090
LBJ_RS00510, LBJ_0091
LBJ_RS00520, LBJ_0092
LBJ_RS00525, LBJ_0093
LBJ_RS00530, LBJ_0094
LBJ_RS00535, LBJ_0095
LBJ_RS00540, LBJ_0096
LBJ_RS00545, LBJ_0097
LBJ_RS00550, LBJ_0098
LBJ_RS00555, LBJ_0099
LBJ_RS00565, LBJ_0100
LBJ_RS00570, LBJ_0101
LBJ_RS00575, LBJ_0102
LBJ_RS00580, LBJ_0103
LBJ_RS00585, LBJ_0104
LBJ_RS00590, LBJ_0105
LBJ_RS00595, LBJ_0106
LBJ_RS00600, LBJ_0107
LBJ_RS00605, LBJ_0108
LBJ_RS00610, LBJ_0109
LBJ_RS00615, LBJ_0110
LBJ_RS00620, LBJ_0111
LBJ_RS00625, LBJ_0112
LBJ_RS21085
LBJ_RS00640, LBJ_0114
LBJ_RS00645, LBJ_0115
LBJ_RS00650, LBJ_0116
LBJ_RS00655, LBJ_0117
LBJ_RS00660, LBJ_0118
LBJ_RS00665, LBJ_0119
LBJ_RS00670, LBJ_0120
LBJ_RS00675, LBJ_0121
LBJ_RS00680, LBJ_0122
LBJ_RS00685, LBJ_0123
LBJ_RS00690, LBJ_0124
LBJ_RS00695, LBJ_0125
LBJ_RS00700, LBJ_0126
LBJ_RS00705, LBJ_0127
LBJ_RS00710, LBJ_0128
LBJ_RS00715, LBJ_0129
LBJ_RS00720, LBJ_0130
LBJ_RS00725, LBJ_0131
LBJ_RS00730, LBJ_0132
LBJ_RS00735, LBJ_0133
LBJ_RS00740, LBJ_0134
LBJ_RS00750, LBJ_0135
LBJ_RS00755, LBJ_0136
LBJ_RS00760, LBJ_0137
LBJ_RS00765, LBJ_0138
LBJ_RS18170
LBJ_RS21090
LBJ_RS21095
LBJ_RS00795, LBJ_0143
LBJ_RS20050
LBJ_RS00800, LBJ_0144
LBJ_RS00805, LBJ_0145
LBJ_RS18180
LBJ_RS18185, LBJ_0146
LBJ_RS00815, LBJ_0147
LBJ_RS00820, LBJ_0148
LBJ_RS00825, LBJ_0149
LBJ_RS00830, LBJ_0151
LBJ_RS00835
LBJ_RS00845, LBJ_0152
LBJ_RS00850, LBJ_0153
LBJ_RS00855, LBJ_0154
LBJ_RS18200
LBJ_RS00860, LBJ_0155
LBJ_RS21100, LBJ_0156
LBJ_RS00870, LBJ_0157
LBJ_RS18210
LBJ_RS00875, LBJ_0158
LBJ_RS00880, LBJ_0159
LBJ_RS00885, LBJ_0160
LBJ_RS00890, LBJ_0161
LBJ_RS00895, LBJ_0162
LBJ_RS00900, LBJ_0163
LBJ_RS00905, LBJ_0164
LBJ_RS00910, LBJ_0165
LBJ_RS00915, LBJ_0166
LBJ_RS00920, LBJ_0167
LBJ_RS00925, LBJ_0168
LBJ_RS00930, LBJ_0169
LBJ_RS00935, LBJ_0170
LBJ_RS00940, LBJ_0171
LBJ_RS00945, LBJ_0172
LBJ_RS00950, LBJ_0173
LBJ_RS00955, LBJ_0174
LBJ_RS00965, LBJ_0175
LBJ_RS00970, LBJ_0176
LBJ_RS00975, LBJ_0177
LBJ_RS00980, LBJ_0178
LBJ_RS20065
LBJ_RS00990, LBJ_0179
LBJ_RS00995, LBJ_0180
LBJ_RS01000, LBJ_0181
LBJ_RS01010, LBJ_0182
LBJ_RS01015, LBJ_0183
LBJ_RS01020, LBJ_0184
LBJ_RS01025, LBJ_0185
LBJ_RS01030, LBJ_0186
LBJ_RS01035, LBJ_0187
LBJ_RS01040, LBJ_0188
LBJ_RS01045, LBJ_0189
LBJ_RS01050, LBJ_0190
LBJ_RS20075, LBJ_0191
LBJ_RS01055, LBJ_0192
LBJ_RS01060, LBJ_0193
LBJ_RS01065, LBJ_0194
LBJ_RS01070, LBJ_0195
LBJ_RS01075, LBJ_0196
LBJ_RS01080, LBJ_0197
LBJ_RS01090, LBJ_0198
LBJ_RS01095, LBJ_0199
LBJ_RS01100, LBJ_0200
LBJ_RS01105, LBJ_0201
LBJ_RS01110, LBJ_0202
LBJ_RS01115, LBJ_0203
LBJ_RS01120, LBJ_0204
LBJ_RS01125, LBJ_0205
LBJ_RS01130, LBJ_0206
LBJ_RS01135, LBJ_0207
LBJ_RS01140, LBJ_0208
LBJ_RS01145, LBJ_0209
LBJ_RS01150, LBJ_0210
LBJ_RS01155, LBJ_0211
LBJ_RS01160, LBJ_0212
LBJ_RS01165, LBJ_0213
LBJ_RS01170, LBJ_0214
LBJ_RS01175, LBJ_0215
LBJ_RS01180, LBJ_0216
LBJ_RS01185, LBJ_0217
LBJ_RS01190, LBJ_0218
LBJ_RS01195, LBJ_0219
LBJ_RS01200, LBJ_0220
LBJ_RS01205, LBJ_0221
LBJ_RS21105
LBJ_RS01210, LBJ_0222
LBJ_RS17990, LBJ_0223
LBJ_RS01220, LBJ_0224
LBJ_RS01225, LBJ_0225
LBJ_RS01230, LBJ_0226
LBJ_RS01235, LBJ_0227
LBJ_RS01240, LBJ_0228
LBJ_RS01245, LBJ_0229
LBJ_RS01250, LBJ_0230
LBJ_RS01255, LBJ_0231
LBJ_RS20745
LBJ_RS01260, LBJ_0232
LBJ_RS01265, LBJ_0233
LBJ_RS01270, LBJ_0234
LBJ_RS01280, LBJ_0235
LBJ_RS21695
LBJ_RS01285, LBJ_0236
LBJ_RS01290, LBJ_0237
LBJ_RS01295, LBJ_0238
LBJ_RS01300, LBJ_0239
LBJ_RS01305, LBJ_0240
LBJ_RS01310, LBJ_0241
LBJ_RS01315, LBJ_0242
LBJ_RS01320, LBJ_0243
LBJ_RS01325, LBJ_0244
LBJ_RS01330, LBJ_0245
LBJ_RS01335, LBJ_0246
LBJ_RS21700
LBJ_RS01340, LBJ_0247
LBJ_RS01350, LBJ_0248
LBJ_RS21110
LBJ_RS01360, LBJ_0250
LBJ_RS01365, LBJ_0251
LBJ_RS01370, LBJ_0252
LBJ_RS01375, LBJ_0253
LBJ_RS01380, LBJ_0254
LBJ_RS01385, LBJ_0255
LBJ_RS01390, LBJ_0256
LBJ_RS01395, LBJ_0257
LBJ_RS01400, LBJ_0258
LBJ_RS01405, LBJ_0259
LBJ_RS01410, LBJ_0260
LBJ_RS01415, LBJ_0261
LBJ_RS01420, LBJ_0262
LBJ_RS01425, LBJ_0263
LBJ_RS01430
LBJ_RS01440, LBJ_0264
LBJ_RS01445, LBJ_0265
LBJ_RS01450
LBJ_RS01455, LBJ_0266
LBJ_RS01460, LBJ_0267
LBJ_RS21705, LBJ_0268
LBJ_RS21710
LBJ_RS21715
LBJ_RS01475, LBJ_0270
LBJ_RS01480, LBJ_0271
LBJ_RS01485, LBJ_0272
LBJ_RS01490, LBJ_0273
LBJ_RS01495, LBJ_0274
LBJ_RS01500, LBJ_0275
LBJ_RS01505, LBJ_0276
LBJ_RS21720
LBJ_RS01515, LBJ_0277
LBJ_RS01520, LBJ_0278
LBJ_RS01540, LBJ_0280
LBJ_RS01545, LBJ_0281
LBJ_RS01550, LBJ_0282
LBJ_RS01555, LBJ_0283
LBJ_RS01560, LBJ_0284
LBJ_RS01565, LBJ_0285
LBJ_RS01570, LBJ_0286
LBJ_RS01575, LBJ_0287
LBJ_RS01580, LBJ_0288
LBJ_RS01585
LBJ_RS01590, LBJ_0289
LBJ_RS01595
LBJ_RS01600, LBJ_0290
LBJ_RS01605, LBJ_0291
LBJ_RS01610, LBJ_0292
LBJ_RS01615, LBJ_0293
LBJ_RS01620, LBJ_0294
LBJ_RS01625, LBJ_0295
LBJ_RS01630, LBJ_0296
LBJ_RS01635, LBJ_0297
LBJ_RS01640, LBJ_0298
LBJ_RS01645, LBJ_0299
LBJ_RS01655, LBJ_0300
LBJ_RS01660, LBJ_0302
LBJ_RS01665, LBJ_0303
LBJ_RS20855, LBJ_0304
LBJ_RS01675, LBJ_0305
LBJ_RS01690, LBJ_0306
LBJ_RS20105
LBJ_RS01700, LBJ_0307
LBJ_RS01705, LBJ_0308
LBJ_RS01710, LBJ_0309
LBJ_RS01715, LBJ_0310
LBJ_RS01720, LBJ_0311
LBJ_RS01725, LBJ_0312
LBJ_RS01730, LBJ_0313
LBJ_RS01735, LBJ_0314
LBJ_RS20860
LBJ_RS01745, LBJ_0315
LBJ_RS01750, LBJ_0316
LBJ_RS01755, LBJ_0317
LBJ_RS01760, LBJ_0318
LBJ_RS01765, LBJ_0319
LBJ_RS01770, LBJ_0320
LBJ_RS01775, LBJ_0321
LBJ_RS01780, LBJ_0322
LBJ_RS01790, LBJ_0323
LBJ_RS21725, LBJ_0324
LBJ_RS01795, LBJ_0325
LBJ_RS01800, LBJ_0326
LBJ_RS01805, LBJ_0327
LBJ_RS01810, LBJ_0328
LBJ_RS01815, LBJ_0329
LBJ_RS01820, LBJ_0330
LBJ_RS01825, LBJ_0331
LBJ_RS01830, LBJ_0332
LBJ_RS21125
LBJ_RS01840, LBJ_0333
LBJ_RS01845, LBJ_0334
LBJ_RS01850, LBJ_0335
LBJ_RS01855, LBJ_0336
LBJ_RS01860, LBJ_0337
LBJ_RS01865, LBJ_0338
LBJ_RS01875, LBJ_0339
LBJ_RS01880
LBJ_RS01885, LBJ_0340
LBJ_RS01890, LBJ_0341
LBJ_RS18285
LBJ_RS01895
LBJ_RS01900, LBJ_0342
LBJ_RS18290, LBJ_0343
LBJ_RS01915, LBJ_0344
LBJ_RS01920, LBJ_0345
LBJ_RS01925, LBJ_0346
LBJ_RS01930, LBJ_0347
LBJ_RS01935, LBJ_0348
LBJ_RS01940, LBJ_0350
LBJ_RS01945, LBJ_0351
LBJ_RS01950, LBJ_0352
LBJ_RS01955, LBJ_0353
LBJ_RS01960, LBJ_0354
LBJ_RS01970, LBJ_0355
LBJ_RS01980, LBJ_0356
LBJ_RS01985, LBJ_0357
LBJ_RS01990, LBJ_0358
LBJ_RS02000, LBJ_0359
LBJ_RS02005, LBJ_0360
LBJ_RS02010, LBJ_0361
LBJ_RS02015, LBJ_0362
LBJ_RS02020
LBJ_RS02025, LBJ_0364
LBJ_RS02030, LBJ_0365
LBJ_RS02035, LBJ_0366
LBJ_RS02040, LBJ_0367
LBJ_RS02045, LBJ_0368
LBJ_RS02050, LBJ_0369
LBJ_RS02055, LBJ_0370
LBJ_RS02060, LBJ_0371
LBJ_RS02065, LBJ_0372
LBJ_RS21130
LBJ_RS02070, LBJ_0373
LBJ_RS02080, LBJ_0375
LBJ_RS02085, LBJ_0376
LBJ_RS02090, LBJ_0377
LBJ_RS02095, LBJ_0378
LBJ_RS02100, LBJ_0379
LBJ_RS02105, LBJ_0380
LBJ_RS02110, LBJ_0381
LBJ_RS20865
LBJ_RS02115, LBJ_0382
LBJ_RS02120, LBJ_0383
LBJ_RS02125, LBJ_0384
LBJ_RS02130, LBJ_0385
LBJ_RS02135, LBJ_0386
LBJ_RS02140, LBJ_0387
LBJ_RS21730
LBJ_RS02150, LBJ_0388
LBJ_RS21735
LBJ_RS02160, LBJ_0389
LBJ_RS02165
LBJ_RS18325
LBJ_RS02170, LBJ_0390
LBJ_RS02175, LBJ_0391
LBJ_RS02180, LBJ_0392
LBJ_RS02185, LBJ_0393
LBJ_RS02190, LBJ_0394
LBJ_RS02195, LBJ_0395
LBJ_RS02200, LBJ_0396
LBJ_RS02205, LBJ_0397
LBJ_RS02210, LBJ_0398
LBJ_RS02215, LBJ_0399
LBJ_RS02220, LBJ_0400
LBJ_RS02225, LBJ_0401
LBJ_RS02230, LBJ_0402
LBJ_RS02235, LBJ_0403
LBJ_RS18335, LBJ_0404
LBJ_RS02250, LBJ_0405
LBJ_RS02255, LBJ_0406
LBJ_RS02260, LBJ_0407
LBJ_RS02265, LBJ_0408
LBJ_RS17995, LBJ_0409
LBJ_RS02275, LBJ_0410
LBJ_RS02280, LBJ_0411
LBJ_RS02285, LBJ_0412
LBJ_RS02290, LBJ_0413
LBJ_RS02295, LBJ_0414
LBJ_RS02300, LBJ_0415
LBJ_RS02305, LBJ_0416
LBJ_RS02310, LBJ_0417
LBJ_RS02315, LBJ_0418
LBJ_RS02320, LBJ_0419
LBJ_RS02325, LBJ_0420
LBJ_RS02330, LBJ_0421
LBJ_RS20125, LBJ_0423
LBJ_RS02350, LBJ_0426
LBJ_RS02365, LBJ_0428
LBJ_RS02370, LBJ_0429
LBJ_RS02375, LBJ_0430
LBJ_RS02385, LBJ_0431
LBJ_RS02390, LBJ_0432
LBJ_RS02395, LBJ_0433
LBJ_RS02400, LBJ_0434
LBJ_RS02405, LBJ_0435
LBJ_RS02410, LBJ_0436
LBJ_RS02415, LBJ_0437
LBJ_RS18370
LBJ_RS02435, LBJ_0441
LBJ_RS02445
LBJ_RS02450, LBJ_0442
LBJ_RS18375
LBJ_RS02460, LBJ_0444
LBJ_RS02465, LBJ_0445
LBJ_RS02470, LBJ_0446
LBJ_RS18380, LBJ_0447
LBJ_RS02485, LBJ_0448
LBJ_RS02490, LBJ_0449
LBJ_RS02495, LBJ_0450
LBJ_RS21740
LBJ_RS02505, LBJ_0451
LBJ_RS02510, LBJ_0452
LBJ_RS02515, LBJ_0453
LBJ_RS02520, LBJ_0454
LBJ_RS02530, LBJ_0455
LBJ_RS02535, LBJ_0456
LBJ_RS02540, LBJ_0458
LBJ_RS02545, LBJ_0459
LBJ_RS02555, LBJ_0460
LBJ_RS21745
LBJ_RS02575, LBJ_0461
LBJ_RS02580, LBJ_0462
LBJ_RS02585, LBJ_0463
LBJ_RS02590, LBJ_0464
LBJ_RS02595, LBJ_0465
LBJ_RS02600, LBJ_0466
LBJ_RS02605, LBJ_0467
LBJ_RS02615, LBJ_0468
LBJ_RS02620, LBJ_0469
LBJ_RS02625, LBJ_0470
LBJ_RS02630, LBJ_0471
LBJ_RS02635, LBJ_0472
LBJ_RS02640, LBJ_0473
LBJ_RS02645, LBJ_0474
LBJ_RS02650, LBJ_0475
LBJ_RS02655, LBJ_0476
LBJ_RS02660, LBJ_0477
LBJ_RS02665, LBJ_0478
LBJ_RS02670, LBJ_0479
LBJ_RS02675, LBJ_0480
LBJ_RS02680, LBJ_0481
LBJ_RS02685, LBJ_0482
LBJ_RS02690, LBJ_0483
LBJ_RS02695, LBJ_0484
LBJ_RS02700, LBJ_0485
LBJ_RS02705, LBJ_0486
LBJ_RS02710, LBJ_0487
LBJ_RS02715, LBJ_0488
LBJ_RS02720, LBJ_0489
LBJ_RS02725, LBJ_0490
LBJ_RS02730, LBJ_0491
LBJ_RS02735, LBJ_0492
LBJ_RS02740, LBJ_0493
LBJ_RS02745, LBJ_0494
LBJ_RS18405
LBJ_RS21750
LBJ_RS02765, LBJ_0497
LBJ_RS02770, LBJ_0498
LBJ_RS02775, LBJ_0499
LBJ_RS02780, LBJ_0500
LBJ_RS20765
LBJ_RS02790, LBJ_0501
LBJ_RS02795, LBJ_0502
LBJ_RS02800, LBJ_0503
LBJ_RS02805, LBJ_0504
LBJ_RS02810, LBJ_0505
LBJ_RS02815, LBJ_0506
LBJ_RS02820, LBJ_0507
LBJ_RS02825, LBJ_0508
