"PATRIC","ut30","to30","ut37","to37"
"fig|214675.23.peg.1",2.24295,5.03301,3.016998,8.063359
"fig|214675.23.peg.2",215.330154,12.824504,174.591095,31.281885
"fig|214675.23.peg.38",18.217485,2.001579,28.156317,4.445723
"fig|214675.23.peg.39",38.739429,1.746126,53.329533,4.706084
"fig|214675.23.peg.41",18.659924,5.17458,11.08902,5.897152
"fig|214675.23.peg.42",2.14197,1.80578,1.622727,1.855493
"fig|214675.23.peg.43",1.858078,0.418989,1.437694,0.509046
"fig|214675.23.peg.3",6.58464,0.904134,9.175342,2.352326
"fig|214675.23.peg.4",54.592457,7.64858,21.285297,6.193572
"fig|214675.23.peg.5",4.229708,4.200894,2.69909,4.720356
"fig|214675.23.peg.6",4.55116,1.824695,6.335269,3.190878
"fig|214675.23.peg.7",35.3284,1.907262,30.508886,3.710814
"fig|214675.23.peg.8",5.065449,4.084101,2.835015,5.225909
"fig|214675.23.peg.9",10.061389,1.255186,8.977935,3.114074
"fig|214675.23.peg.10",99.150787,80.982094,34.781574,42.94907
"fig|214675.23.peg.11",18.828732,21.039888,6.280973,12.09726
"fig|214675.23.peg.12",9.846443,0.978074,7.304677,1.649315
"fig|214675.23.peg.13",75.861618,7.500353,62.877876,7.376722
"fig|214675.23.peg.14",7.967834,2.380566,6.219055,3.96662
"fig|214675.23.peg.15",82.060074,10.764753,45.10976,12.01989
"fig|214675.23.peg.16",18.503647,5.015359,12.596155,7.196707
"fig|214675.23.peg.17",66.004112,4.718446,30.837572,7.718271
"fig|214675.23.peg.18",25.422003,4.078978,21.649761,5.717184
"fig|214675.23.peg.19",11.092856,3.147475,7.738284,3.968703
"fig|214675.23.peg.20",4.745677,NA,2.349319,NA
"fig|214675.23.peg.21",11.813756,1.642522,10.479255,3.986536
"fig|214675.23.peg.22",88.781448,5.371611,53.835526,7.466415
"fig|214675.23.peg.23",32.222721,4.386433,16.705927,6.093131
"fig|214675.23.peg.24",34.59697,4.892136,28.365366,11.233532
"fig|214675.23.peg.25",19.48218,9.231036,4.347669,7.149951
"fig|214675.23.peg.26",12.017427,4.629593,NA,7.619546
