keggID	to37
sdz:Asd1617_00381	6.193572
ial:IALB_0540	12.09726
lis:LIL_11795	1.649315
lie:LIF_A1847	12.01989
lic:LIC_11663	6.093131
lil:LA_2282	3.147822
lis:LIL_11777	11.573692
lil:LA_2286	32.49007
lic:LIC_11646	5.897152
lil:LA_3949	16.625385
lil:LA_3948	14.995144
sus:Acid_2404	7.977001
lic:LIC_13145	9.921089
ftu:FTT_1317c	8.982869
lil:LA_3936	10.094691
lis:LIL_13241	0.0
lic:LIC_13138	1.804852
cazo:G3A45_04400	8.98907
laj:A0128_11770	8.024796
mhad:B586_07090	6.366321
fmo:C4N19_00565	5.120705
camu:CA2015_3809	1.659291
enf:AKI40_0896	0.0
tni:TVNIR_1685	2.096362
tig:THII_3121	5.614172
pset:THL1_3734	1.150383
oxy:HCG48_15465	3.206496
des:DSOUD_1479	5.302289
bsto:C0V70_18545	3.420041
cte:CT2056	2.654961
lil:LA_3888	2.660344
lil:LA_3885	1.240751
vdi:Vdis_0456	2.116141
mthd:A3224_11795	2.623559
lil:LA_3874	10.352492
lie:LIF_A3045	8.698513
lil:LA_3802	9.217196
lil:LA_3801	11.294894
lil:LA_3800	12.258889
dov:DSCO28_00810	20.134575
rhoz:GXP67_10580	2.813438
ssm:Spirs_4303	9.534515
bjs:MY9_2859	11.401622
paut:Pdca_14000	2.870382
lil:LA_0693	14.378591
lkm:EFP84_15395	113.001915
lie:LIF_A2534	8.090935
mfc:BRM9_1198	6.947309
toq:HCG51_04390	3.226599
bxe:Bxe_C1266	6.929605
lil:LA_3160	8.679391
tah:SU86_008830	12.445987
dfl:DFE_1957	2.066576
amyy:YIM_39670	1.898558
lagg:B0E33_10030	3.87429
tsl:A3L11_05140	2.512178
lil:LA_4079	7.788956
hgn:E6W36_08880	6.912058
aai:AARI_04680	8.358492
caby:Cabys_2095	11.007763
lis:LIL_10245	2.609534
lil:LA_0296	67.329559
sth:STH1805	3.184608
rme:Rmet_0810	3.446438
caby:Cabys_2095	16.746437
lic:LIC_10270	5.709118
nmv:NITMOv2_0338	76.744461
rau:MC5_02555	5.638756
lil:LA_0325	14.692089
lil:LA_0326	6.855593
lic:LIC_10286	4.320641
lil:LA_0332	5.996125
lil:LA_0333	4.478094
lil:LA_0334	36.724056
lil:LA_0335	32.632275
lic:LIC_10293	3.170361
tto:Thethe_02117	7.096764
mthd:A3224_11795	4.825339
lic:LIC_10309	19.438753
lil:LA_0361	22.900621
lic:LIC_10311	7.821074
lil:LA_0366	5.414573
lil:LA_0369	24.02557
aft:BBF96_06095	5.152596
mpi:Mpet_0440	9.447831
agv:OJF2_64560	0.0
ndv:NDEV_0242	7.954363
aai:AARI_04680	8.408168
dsf:UWK_03168	5.427624
fnu:FN1424	161.479767
lil:LA_0414	27.21594
npu:Npun_R3683	0.0
bsto:C0V70_17775	1.290153
tee:Tel_08575	1.464611
lil:LA_0671	17.296082
lil:LA_0656	11.877038
aaxa:NCTC10138_01451	12.825477
piv:NCTC13079_00754	28.717537
tpx:Turpa_1643	7.892466
aper:A0U91_07295	3.148202
lil:LA_0638	1.32276
lic:LIC_12950	0.613675
syf:Synpcc7942_2454	1.844714
lic:LIC_12955	18.918943
lil:LA_0618	16.975338
ccro:CMC5_022300	39.279133
sen:SACE_0728	2.362667
sua:Saut_0637	129.417175
lil:LA_0595	2.396155
lis:LIL_13088	4.986444
aaxa:NCTC10138_00241	11.05612
lie:LIF_A0904	1.016169
csep:CP523_01015	11.5514
lil:LA_1111	6.624588
lil:LA_1110	19.575518
lil:LA_1102	62.152981
lil:LA_1101	59.879112
tfr:BR63_15455	7.852917
hmc:HYPMC_2860	8.005992
lic:LIC_12579	10.657774
lic:LIC_12589	2.368625
lkm:EFP84_16690	7.319338
bha:BH2000	0.599234
