"","label","group"
"1","temp29_1","29°C"
"2","temp29_2","29°C"
"3","temp29_3","29°C"
"4","temp29_4","29°C"
"5","temp29_5","29°C"
"6","temp29_6","29°C"
"7","temp29_7","29°C"
"8","temp29_8","29°C"
"9","temp29_9","29°C"
"10","temp29_10","29°C"
"11","temp29_11","29°C"
"12","temp29_12","29°C"
"13","temp29_13","29°C"
"14","temp29_14","29°C"
"15","temp29_15","29°C"
"16","temp29_16","29°C"
"17","temp29_17","29°C"
"18","temp29_18","29°C"
"19","temp29_19","29°C"
"20","temp29_20","29°C"
"21","temp29_21","29°C"
"22","temp29_22","29°C"
"23","temp29_23","29°C"
"24","temp29_24","29°C"
"25","temp29_25","29°C"
"26","temp29_26","29°C"
"27","temp29_27","29°C"
"28","temp29_28","29°C"
"29","temp29_29","29°C"
"30","temp29_30","29°C"
"31","temp29_31","29°C"
"32","temp29_32","29°C"
"33","temp29_33","29°C"
"34","temp29_34","29°C"
"35","temp29_35","29°C"
"36","temp29_36","29°C"
"37","temp29_37","29°C"
"38","temp29_38","29°C"
"39","temp29_39","29°C"
"40","temp29_40","29°C"
"41","temp29_41","29°C"
"42","temp29_42","29°C"
"43","temp29_43","29°C"
"44","temp29_44","29°C"
"45","temp29_45","29°C"
"46","temp29_46","29°C"
"47","temp29_47","29°C"
"48","temp29_48","29°C"
"49","temp29_49","29°C"
"50","temp29_50","29°C"
"51","temp29_51","29°C"
"52","temp29_52","29°C"
"53","temp29_53","29°C"
"54","temp29_54","29°C"
"55","temp29_55","29°C"
"56","temp29_56","29°C"
"57","temp29_57","29°C"
"58","temp29_58","29°C"
"59","temp29_59","29°C"
"60","temp29_60","29°C"
"61","temp29_61","29°C"
"62","temp29_62","29°C"
"63","temp29_63","29°C"
"64","temp29_64","29°C"
"65","temp29_65","29°C"
"66","temp29_66","29°C"
"67","temp29_67","29°C"
"68","temp29_68","29°C"
"69","temp29_69","29°C"
"70","temp29_70","29°C"
"71","temp29_71","29°C"
"72","temp29_72","29°C"
"73","temp29_73","29°C"
"74","temp29_74","29°C"
"75","temp29_75","29°C"
"76","temp29_76","29°C"
"77","temp29_77","29°C"
"78","temp29_78","29°C"
"79","temp29_79","29°C"
"80","temp29_80","29°C"
"81","temp29_81","29°C"
"82","temp29_82","29°C"
"83","temp29_83","29°C"
"84","temp29_84","29°C"
"85","temp29_85","29°C"
"86","temp29_86","29°C"
"87","temp29_87","29°C"
"88","temp29_88","29°C"
"89","temp29_89","29°C"
"90","temp29_90","29°C"
"91","temp29_91","29°C"
"92","temp29_92","29°C"
"93","temp29_93","29°C"
"94","temp29_94","29°C"
"95","temp29_95","29°C"
"96","temp29_96","29°C"
"97","temp29_97","29°C"
"98","temp29_98","29°C"
"99","temp29_99","29°C"
"100","temp29_100","29°C"
"101","temp29_101","29°C"
"102","temp29_102","29°C"
"103","temp29_103","29°C"
"104","temp29_104","29°C"
"105","temp29_105","29°C"
"106","temp29_106","29°C"
"107","temp29_107","29°C"
"108","temp29_108","29°C"
"109","temp29_109","29°C"
"110","temp29_110","29°C"
"111","temp29_111","29°C"
"112","temp29_112","29°C"
"113","temp29_113","29°C"
"114","temp29_114","29°C"
"115","temp29_115","29°C"
"116","temp29_116","29°C"
"117","temp29_117","29°C"
"118","temp29_118","29°C"
"119","temp29_119","29°C"
"120","temp29_120","29°C"
"121","temp29_121","29°C"
"122","temp29_122","29°C"
"123","temp29_123","29°C"
"124","temp29_124","29°C"
"125","temp29_125","29°C"
"126","temp29_126","29°C"
"127","temp29_127","29°C"
"128","temp29_128","29°C"
"129","temp29_129","29°C"
"130","temp29_130","29°C"
"131","temp29_131","29°C"
"132","temp29_132","29°C"
"133","temp29_133","29°C"
"134","temp29_134","29°C"
"135","temp29_135","29°C"
"136","temp29_136","29°C"
"137","temp29_137","29°C"
"138","temp29_138","29°C"
"139","temp29_139","29°C"
"140","temp29_140","29°C"
"141","temp29_141","29°C"
"142","temp29_142","29°C"
"143","temp29_143","29°C"
"144","temp29_144","29°C"
"145","temp29_145","29°C"
"146","temp29_146","29°C"
"147","temp29_147","29°C"
"148","temp29_148","29°C"
"149","temp29_149","29°C"
"150","temp29_150","29°C"
"151","temp29_151","29°C"
"152","temp29_152","29°C"
"153","temp29_153","29°C"
"154","temp29_154","29°C"
"155","temp29_155","29°C"
"156","temp29_156","29°C"
"157","temp29_157","29°C"
"158","temp29_158","29°C"
"159","temp29_159","29°C"
"160","temp29_160","29°C"
"161","temp29_161","29°C"
"162","temp29_162","29°C"
"163","temp29_163","29°C"
"164","temp29_164","29°C"
"165","temp29_165","29°C"
"166","temp29_166","29°C"
"167","temp29_167","29°C"
"168","temp29_168","29°C"
"169","temp29_169","29°C"
"170","temp29_170","29°C"
"171","temp29_171","29°C"
"172","temp29_172","29°C"
"173","temp29_173","29°C"
"174","temp29_174","29°C"
