Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1","LBJ_0001","VBILepBor13265_0001","PATRIC.355277.4.NC_008510.CDS.1.1908.rev","PATRIC","CDS",1,1908,1908,"-","FIG00000576","PLF_171_00000591","PGF_00413300","YP_799518.1",635,"gidA","tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1085","LBJ_0827","VBILepBor13265_1085","PATRIC.355277.4.NC_008510.CDS.1002283.1003410.rev","PATRIC","CDS",1002283,1003410,1128,"-","FIG01362950","PLF_171_00000574","PGF_00778630","YP_800244.1",375,,"Uncharacterized amino acid permease, GabP family",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.101","LBJ_0086","VBILepBor13265_0101","PATRIC.355277.4.NC_008510.CDS.100908.102959.rev","PATRIC","CDS",100908,102959,2052,"-","FIG00018699","PLF_171_00014048","PGF_00734739","YP_799592.1",683,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain-fatty-acid-CoA ligase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1089","LBJ_0831","VBILepBor13265_1089","PATRIC.355277.4.NC_008510.CDS.1009882.1010460.fwd","PATRIC","CDS",1009882,1010460,579,"+",,"PLF_171_00001846","PGF_00146025","YP_800246.1",192,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1092","LBJ_0834","VBILepBor13265_1092","PATRIC.355277.4.NC_008510.CDS.1012967.1013710.fwd","PATRIC","CDS",1012967,1013710,744,"+","FIG00765945","PLF_171_00002373","PGF_00082654","YP_800248.1",247,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1093","LBJ_0835","VBILepBor13265_1093","PATRIC.355277.4.NC_008510.CDS.1013963.1015657.rev","PATRIC","CDS",1013963,1015657,1695,"-","FIG00762889","PLF_171_00000327","PGF_01582361","YP_800249.1",564,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1094","LBJ_0836","VBILepBor13265_1094","PATRIC.355277.4.NC_008510.CDS.1015885.1016379.fwd","PATRIC","CDS",1015885,1016379,495,"+","FIG00763608","PLF_171_00001639","PGF_00234703","YP_800250.1",164,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1095","LBJ_0837","VBILepBor13265_1095","PATRIC.355277.4.NC_008510.CDS.1016410.1016892.fwd","PATRIC","CDS",1016410,1016892,483,"+","FIG00132630","PLF_171_00001448","PGF_10470343","YP_800251.1",160,,"Ferric uptake regulation protein FUR","GO:0003700|transcription factor activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1096","LBJ_0838","VBILepBor13265_1096","PATRIC.355277.4.NC_008510.CDS.1016889.1018013.fwd","PATRIC","CDS",1016889,1018013,1125,"+","FIG00000274","PLF_171_00001008","PGF_02061452","YP_800252.1",374,"tgt","Queuine tRNA-ribosyltransferase (EC 2.4.2.29)","GO:0008479|queuine tRNA-ribosyltransferase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1097","LBJ_0839","VBILepBor13265_1097","PATRIC.355277.4.NC_008510.CDS.1018083.1018418.fwd","PATRIC","CDS",1018083,1018418,336,"+","FIG00103613","PLF_171_00002114","PGF_00882094","YP_800253.1",111,,"Anti-sigma B factor antagonist RsbV",
