Systemic ID,Base mean DMC,Base mean IV,Fold Change,P-adjusted,Chromosome,Strand,Start,End,Gene Length,Gene Name,Product
LIC1nc10,89142.87,39539.65,2.25,0.777794143,1,NA,175606,175960,355,sRNA-,tmRNA
LIC11508,83102.97,62364.87,1.33,0.969867314,1,+,1862433,1863944,"1,512",rrs2,16S ribosomal RNA
LIC1nc60,14807.64,6396.30,2.32,0.715748479,1,NA,3031445,3031846,402,sRNA-,RNaseP
LIC10524,3472.34,1741.08,1.99,0.710749902,1,-,631859,633799,646,dnaK,molecular chaperone DnaK
LIC10464,3447.50,1125.45,3.06,0.254088891,1,-,526395,532067,"1,890",ligB,hypothetical protein
LIC10153,3286.65,1921.39,1.71,0.775608226,1,+,184356,184475,120,rrf,5S ribosomal RNA
LIC12210,3215.70,1191.04,2.70,0.442137468,1,+,2668228,2668644,138,-,Hsp15-like protein
LIC12297,3157.27,693.81,4.55,0.03804048,1,-,2771760,2772458,232,-,DNA repair protein
LIC12298,2801.05,730.57,3.83,0.075801746,1,-,2772455,2772715,86,-,hypothetical protein
LIC10465,2633.11,576.22,4.57,0.02034973,1,-,533414,537088,"1,224",ligA,hypothetical protein
LIC11352,2625.31,2744.30,0.96,0.984824392,1,-,1666299,1667117,272,lipL32,hypothetical protein
LIC11335,2577.19,958.88,2.69,0.327928442,1,-,1646985,1648625,546,groEL,chaperonin GroEL
LIC12211,1938.45,653.11,2.97,0.21450995,1,+,2668665,2669057,130,hsp15,Hsp15
LIC11889,1761.90,446.34,3.95,0.014986624,1,-,2286369,2287220,283,flaB,flagellin protein
LIC10339,1706.22,1348.30,1.27,0.905680613,1,-,384088,386628,846,tlyB,hemolysin B
LIC12339,1590.15,1403.84,1.13,0.996409467,1,-,2827132,2829123,663,-,hypothetical protein
LIC11890,1562.75,699.43,2.23,0.380134605,1,-,2287676,2288521,281,-,flagellin protein
LIC12032,1363.79,761.75,1.79,0.681167841,1,-,2452348,2453793,481,katE,catalase
LIC13166,1309.11,585.01,2.24,0.341725763,1,+,3875998,3876918,306,-,hypothetical protein
LIC10123,1299.79,799.52,1.63,0.763449392,1,+,144198,145190,330,-,hypothetical protein
LIC12324,1221.98,647.82,1.89,0.436923295,1,+,2803222,2808564,"1,780",-,serine/threonine kinase protein
LIC10753,1216.29,1654.50,0.74,0.846380331,1,+,912196,915876,"1,226",rpoB,DNA-directed RNA polymerase subunit beta
LIC10754,1202.17,1875.83,0.64,0.73119565,1,+,915880,920094,"1,404",rpoC,DNA-directed RNA polymerase subunit beta'
LIC12875,1183.25,1414.55,0.84,0.901529834,1,-,3469464,3470669,401,tuf,elongation factor Tu
LIC1nc50,1138.00,589.66,1.93,0.302789416,1,NA,2109156,2109444,289,,
LIC11587,987.63,1841.81,0.54,0.532944635,1,-,1945319,1948948,"1,209",nrdA,ribonucleotide-diphosphate reductase subunit alpha
LIC10874,924.11,1299.99,0.71,0.833633828,1,+,1056144,1059251,"1,035",-,molybdopterin oxidoreductase
LIC12631,908.90,65.30,13.92,5.13E-26,1,+,3183448,3185319,623,sph2,hemolysin
LIC12979,900.19,515.27,1.75,0.562147754,1,-,3616632,3617357,241,-,hypothetical protein
LIC12227,876.18,1027.32,0.85,0.866044857,1,+,2691534,2692034,166,-,hypothetical protein
LIC20083,874.27,627.97,1.39,0.883795317,2,+,93491,94801,436,ahcY,S-adenosyl-L-homocysteine hydrolase
LIC11219,859.87,144.23,5.96,7.29E-07,1,+,1502226,1502807,193,ahpC,peroxiredoxin
LIC20141,812.39,1029.75,0.79,0.73119565,2,+,168370,169257,295,htpX,heat shock protein HtpX
LIC20249,806.90,866.95,0.93,0.930367289,2,-,314619,316892,757,acnA,aconitate hydratase
LIC10421,804.59,889.32,0.90,0.872409577,1,+,481710,482045,111,-,hypothetical protein
LIC11745,799.82,675.05,1.18,0.953945329,1,+,2130507,2131607,366,recA,recombinase A
LIC10244,785.31,547.89,1.43,0.746698405,1,+,279110,279868,252,-,hypothetical protein
LIC10970,775.31,395.21,1.96,0.502480572,1,+,1169606,1170862,418,-,acyl-CoA dehydrogenase
LIC10789,769.71,890.38,0.86,0.959236409,1,+,956203,958983,926,greA,transcript cleavage factor/unknown domain fusion protein
LIC12653,752.08,207.47,3.63,0.005826908,1,-,3218264,3218473,69,-,hypothetical protein
LIC10068,746.17,1257.81,0.59,0.517128082,1,+,87380,87589,69,-,hypothetical protein
LIC11643,733.56,384.35,1.91,0.407936223,1,+,2009405,2010577,390,-,hypothetical protein
LIC12228,715.88,659.58,1.09,1,1,+,2692055,2692537,160,-,hypothetical protein
LIC11709,711.46,446.29,1.59,0.558023374,1,-,2075927,2078425,832,-,histidine kinase response regulator hybrid protein
LIC12317,706.06,760.64,0.93,0.959236409,1,+,2794944,2796239,431,sch1,beta-ketoacyl synthase
LIC20078,704.50,287.49,2.45,0.166309501,2,-,88319,88834,171,-,hypothetical protein
LIC11149,678.76,394.39,1.72,0.417340469,1,+,1418081,1418896,271,-,membrane metalloendopeptidase
